"","Generations","Abundance"
"1",1,2500
"2",2,3250
"3",3,3932.5
"4",4,4436.25325
"5",5,4736.36405222373
"6",6,4886.20515133431
"7",7,4952.92814842378
"8",8,4980.90536826421
"9",9,4992.31839471035
"10",10,4996.92027703696
"11",11,4998.76697265156
"12",12,4999.50660661785
"13",13,4999.8026134347
"14",14,4999.9210406985
