Semester,Year,Section,Site,Dist_to_Burrow,Bareground,Grass,Yucca,Cactus,Other_Veg,Total_Percent_Veg
Pre,Pre,Pre,South,1.5,63,6,0,0,31,37
Pre,Pre,Pre,South,1.5,63,6,0,0,31,37
Pre,Pre,Pre,South,1.5,63,6,0,0,31,37
Pre,Pre,Pre,South,2,18,10,0,0,72,82
Pre,Pre,Pre,South,2,30,0,0,0,70,70
Pre,Pre,Pre,South,2,24,0,0,0,76,76
Pre,Pre,Pre,South,2,60,10,0,0,30,40
Pre,Pre,Pre,South,2,71,0,0,0,29,29
Pre,Pre,Pre,South,2,71,0,0,0,29,29
Pre,Pre,Pre,South,2,71,0,0,0,29,29
Pre,Pre,Pre,South,2.5,15,0,0,0,85,85
Pre,Pre,Pre,South,2.5,44,12,0,0,44,56
Pre,Pre,Pre,South,2.6,10,0,0,0,90,90
Pre,Pre,Pre,South,2.8,12,2,0,0,86,88
Pre,Pre,Pre,South,3,25,5,0,0,70,75
Pre,Pre,Pre,South,3,57,2,0,0,41,43
Pre,Pre,Pre,South,3,57,2,0,0,41,43
Pre,Pre,Pre,South,3,57,2,0,0,41,43
Pre,Pre,Pre,South,3.3,22,0,0,0,78,78
Pre,Pre,Pre,South,3.3,22,0,0,0,78,78
Pre,Pre,Pre,South,3.3,22,0,0,0,78,78
Pre,Pre,Pre,South,3.5,40,10,0,0,50,60
Pre,Pre,Pre,South,3.6,14,16,0,0,70,86
Pre,Pre,Pre,South,3.6,14,16,0,0,70,86
Pre,Pre,Pre,South,3.6,14,16,0,0,70,86
Pre,Pre,Pre,South,4,15,0,0,0,85,85
Pre,Pre,Pre,South,4.1,35,5,1,0,59,65
Pre,Pre,Pre,South,4.5,4,13,0,0,83,96
Pre,Pre,Pre,South,5,33,0,5,0,62,67
Pre,Pre,Pre,South,5,60,0,0,0,40,40
Pre,Pre,Pre,South,5.2,0,80,0,0,20,100
